Id,Label,Type,Latitude_deg,Longitude_deg
UTK,Utirik Airport,small_airport,11.222,169.852005
OCA,Ocean Reef Club Airport,small_airport,25.3253994,-80.27480316
PQS,Pilot Station Airport,small_airport,61.934601,-162.899994
CSE,Crested Butte Airpark,small_airport,38.851918,-106.928341
JCY,LBJ Ranch Airport,small_airport,30.25180054,-98.62249756
PMX,Metropolitan Airport,small_airport,42.22330093,-72.31140137
WLR,Loring Seaplane Base,seaplane_base,55.60129929,-131.6369934
NUP,Nunapitchuk Airport,small_airport,60.905591,-162.440454
PTC,Port Alice Seaplane Base,seaplane_base,55.803,-133.597
ICY,Icy Bay Airport,small_airport,59.96900177,-141.6620026
PPV,Port Protection Seaplane Base,seaplane_base,56.3288002,-133.6100006
KKK,Kalakaket Creek AS Airport,small_airport,64.4166257,-156.8203926
MHS,Dunsmuir Muni-Mott Airport,small_airport,41.263199,-122.272003
ELW,Ellamar Seaplane Base,seaplane_base,60.893818,-146.704038
LVD,Lime Village Airport,small_airport,61.35910034,-155.4400024
FIV,Five Finger CG Heliport,heliport,57.26990128,-133.6309967
HGZ,Hog River Airport,small_airport,66.2161026,-155.6690063
OTN,Ed-Air Airport,small_airport,38.85139847,-87.49970245
TLF,Telida Airport,small_airport,63.39390182,-153.2689972
BZT,Eagle Air Park,small_airport,28.98220062,-95.57969666
HBH,Entrance Island Seaplane Base,seaplane_base,57.412201,-133.43848
FAK,False Island Seaplane Base,seaplane_base,57.53219986,-135.2129974
BYW,Blakely Island Airport,small_airport,48.57899857,-122.8259964
DRF,Drift River Airport,small_airport,60.58890152,-152.1620026
BDF,Rinkenberger Restricted Landing Area,small_airport,41.23089981,-89.61569977
VRS,Roy Otten Memorial Airfield,small_airport,38.42779922,-92.87519836
GDH,Golden Horn Lodge Seaplane Base,seaplane_base,59.74700165,-158.875
ATT,Atmautluak Airport,small_airport,60.866699,-162.272995
LIV,Livengood Camp Airport,small_airport,65.467,-148.6534
PDB,Pedro Bay Airport,small_airport,59.78960037,-154.1239929
KOZ,Ouzinkie Airport,small_airport,57.925362,-152.496715
TNK,Tununak Airport,small_airport,60.57550049,-165.2720032
EVA,Ben Bruce Memorial Airpark,closed,30.32099915,-94.07350159
WHD,Hyder Seaplane Base,seaplane_base,55.903324,-130.009975
TKI,Tokeen Seaplane Base,seaplane_base,55.93709946,-133.3269959
WKK,Aleknagik / New Airport,medium_airport,59.2826004,-158.6179962
WFB,Ketchikan Harbor Seaplane Base,seaplane_base,55.349899,-131.677002
NNK,Naknek Airport,small_airport,58.73289871,-157.0200043
BKF,Lake Brooks Seaplane Base,seaplane_base,58.55479813,-155.7769928
BCS,Southern Seaplane Airport,small_airport,29.86610031,-90.02220154
SPQ,Catalina Air-Sea Terminal Heliport,heliport,33.74919891,-118.2750015
TSS,East 34th Street Heliport,heliport,40.74259949,-73.9720993
QNY,New York Skyports Inc Seaplane Base,seaplane_base,40.734001,-73.9729
